Temperature (K), initial Peak Energy (eV), Peak Energy (eV)
2.530000000000000000e+02,2.362803882173351688e+00,2.362728586988167123e+00
2.630000000000000000e+02,2.362074515415837350e+00,2.362169430359196021e+00
2.730000000000000000e+02,2.361679169719069993e+00,2.361705596975864907e+00
2.830000000000000000e+02,2.361123275596908933e+00,2.361327139848700796e+00
2.930000000000000000e+02,2.361755555577341958e+00,2.361025444572936838e+00
2.980000000000000000e+02,2.360420710528967181e+00,2.360901001188072446e+00
