Temperature (K), initial Peak Energy (eV), Peak Energy (eV)
1.930000000000000000e+02,2.360298549724847206e+00,2.360317477092509719e+00
2.030000000000000000e+02,2.360621261509691315e+00,2.360582830939528698e+00
2.130000000000000000e+02,2.361041483026669496e+00,2.361011730304703793e+00
2.230000000000000000e+02,2.361423140647302077e+00,2.361526329400249313e+00
2.330000000000000000e+02,2.362078627924284469e+00,2.362049912964454990e+00
2.430000000000000000e+02,2.362563349368882015e+00,2.362508733996523613e+00
2.530000000000000000e+02,2.362803882173351688e+00,2.362833277410676835e+00
