Energy (eV), initial Intensity (a.u.), Intensity (a.u.)
3.196370572768985063e+00,-3.839999999999998970e-02,1.317336843644712987e-09
3.192091849868712305e+00,-4.099999999999999478e-02,1.696214223639021520e-09
3.187906522353908922e+00,-3.739999999999998881e-02,2.168198178876463505e-09
3.183650414644791926e+00,-3.139999999999999736e-02,2.778050693631939459e-09
3.179405656265223978e+00,-7.199999999999993731e-03,3.550673713688696019e-09
3.175172201879497447e+00,-2.000000000000010667e-04,4.527080043307482317e-09
3.170950006393044251e+00,-2.000000000000028556e-04,5.757974508135884953e-09
3.166819899887629131e+00,-2.800000000000000839e-03,7.272673205057268175e-09
3.162619873495205347e+00,-5.799999999999996131e-03,9.206100784815240903e-09
3.158430973000509123e+00,-1.120000000000000162e-02,1.162580685838640520e-08
3.154253154253154001e+00,-1.339999999999999698e-02,1.464681975808914646e-08
3.150166399918705284e+00,-1.680000000000000243e-02,1.832919779419961936e-08
3.146010402131168338e+00,-1.179999999999999799e-02,2.298529002073324580e-08
3.141865355866926723e+00,-4.999999999999998369e-03,2.875744543181146092e-08
3.137731217895189495e+00,-1.379999999999999630e-02,3.589643544016665551e-08
3.133687136719737421e+00,-1.080000000000000404e-02,4.451807469219227958e-08
3.129574478824895145e+00,7.400000000000003797e-03,5.531949895217677538e-08
3.125472601703886522e+00,1.099999999999999936e-02,6.858689142575779460e-08
3.121460037759597128e+00,1.519999999999999997e-02,8.450144155443525747e-08
3.117379390099806358e+00,2.279999999999999735e-02,1.043056018381326985e-07
3.113309397675060541e+00,1.199999999999986451e-03,1.284671327691490988e-07
3.109327983951855501e+00,9.799999999999997949e-03,1.572573865186391609e-07
3.105278974256235447e+00,5.399999999999994214e-03,1.928479369970930794e-07
3.101240496198479413e+00,-1.780000000000000332e-02,2.359822027868777724e-07
3.097289871362557623e+00,-4.220000000000000140e-02,2.870457316428176367e-07
3.093272133110484656e+00,-5.140000000000000124e-02,3.497622613648724910e-07
3.089264804803308451e+00,-7.159999999999999698e-02,4.252791717654860853e-07
3.085344613087833032e+00,-6.679999999999998439e-02,5.141079554545517963e-07
3.081357785398339821e+00,-7.139999999999999125e-02,6.225157049077933458e-07
3.077381247828460786e+00,-7.520000000000000295e-02,7.522188204612001782e-07
3.073491138926756960e+00,-4.819999999999999285e-02,9.038307362039813466e-07
3.069534866450478905e+00,-4.839999999999999164e-02,1.087707740513618013e-06
3.065588766100521667e+00,-3.799999999999999212e-02,1.306331519343677877e-06
3.061728395061728225e+00,-2.299999999999999961e-02,1.560314563439702753e-06
