#Name:: Glass2_UV;Timestamp:: 2026-Feb-13 14:03:57;Device:: Ossila Spectrometer (COM3);Colour:: (32: 141: 194);Integration Time (ms):: 60.0;Accumulation Number:: 1;Averaging Number:: #1;Delay Time:: 0;Trigger Mode:: Internal;Measurement Type:: Transmission/Reflection;Comments:: 
#Wavelength (nm),Intensity,Smoothed,Background,Reference
323.87,1.5,0.9233751042263458,1679.0,20.0
324.39,0.14285714285714285,1.3399192218734048,1713.0,14.0
324.92,1.1285714285714286,1.1436155255697082,1660.0,70.0
325.44,1.2345679012345678,1.292236215224881,1644.0,81.0
325.96,2.9655172413793105,1.3281078280346186,1641.0,29.0
326.49,0.4634146341463415,1.2121987371255276,1682.0,41.0
327.01,4.8125,1.3066630228398135,1682.0,16.0
327.54,-1.5454545454545454,1.363250324427115,1681.0,-11.0
328.06,1.9,1.2917935343036582,1674.0,40.0
328.58,0.6791044776119403,1.0418519796572525,1620.0,134.0
329.11,0.3409090909090909,0.9000559707880729,1694.0,44.0
329.63,1.0875,0.48057067667042597,1669.0,80.0
330.15,1.6944444444444444,0.678705874805624,1617.0,72.0
330.68,0.52,0.5497228239581664,1670.0,50.0
331.2,0.4661016949152542,0.5347535526675606,1644.0,118.0
331.72,-0.9545454545454546,0.6342626435766516,1699.0,-22.0
332.24,0.6176470588235294,0.5864715476862405,1689.0,34.0
332.77,0.4358974358974359,0.4447379466152901,1664.0,78.0
333.29,0.6101694915254238,0.4252379466152902,1646.0,59.0
333.81,0.5294117647058824,0.41686307124141175,1633.0,136.0
334.34,1.336,0.6109842833626238,1621.0,125.0
334.86,0.6095890410958904,0.617969577480271,1631.0,146.0
335.38,0.27710843373493976,0.7643798338905273,1646.0,83.0
335.9,0.325,0.7819343133094135,1639.0,80.0
336.43,0.38235294117647056,0.7550800933605644,1630.0,102.0
336.95,0.9866666666666667,0.7148134266938978,1659.0,75.0
337.47,0.6875,0.7075858658678909,1688.0,64.0
338.0,1.9,0.7136412562606306,1694.0,30.0
338.52,0.7857142857142857,0.7028803866954132,1718.0,28.0
339.04,0.2608695652173913,0.7408355687682423,1668.0,69.0
339.56,0.9333333333333333,0.6130549780509427,1655.0,75.0
340.09,0.5373134328358209,0.5805549780509427,1632.0,134.0
340.61,0.33766233766233766,0.45559562845744683,1667.0,77.0
341.13,0.21739130434782608,0.3920241998860182,1687.0,69.0
341.65,0.7619047619047619,0.40365654160989317,1638.0,105.0
342.17,-0.2911392405063291,0.4275275093518287,1706.0,79.0
342.7,0.3625,0.5580066923840361,1669.0,80.0
343.22,0.6504065040650406,0.6397334163642812,1660.0,123.0
343.74,0.15,0.6679942859294984,1691.0,40.0
344.26,0.37719298245614036,0.6861434323805318,1632.0,114.0
344.78,1.1720430107526882,0.8771621183359266,1615.0,93.0
345.31,1.8421052631578947,0.9709121183359266,1667.0,38.0
345.83,1.1549295774647887,0.9777815802889731,1662.0,71.0
346.35,0.5,1.0384337542020166,1680.0,56.0
346.87,0.9433962264150944,1.0364287416706883,1668.0,53.0
347.39,1.619047619047619,0.9997122454734683,1647.0,63.0
347.92,1.3,0.7341457869542888,1672.0,70.0
348.44,0.7191011235955056,0.6533467067588303,1667.0,89.0
348.96,0.7565217391304347,0.6242557976679213,1646.0,115.0
349.48,0.35714285714285715,0.557653401303784,1659.0,126.0
350.0,0.8048780487804879,0.4355445577663692,1645.0,82.0
350.52,-0.8135593220338984,0.35852074824255964,1691.0,59.0
351.04,0.3469387755102041,0.3171838842906524,1667.0,98.0
351.57,0.20909090909090908,0.26845478730068595,1674.0,110.0
352.09,0.2773722627737226,0.23439339414838364,1680.0,137.0
352.61,0.3979591836734694,0.17375853044680545,1689.0,98.0
353.13,0.5297619047619048,0.2599925114306831,1642.0,168.0
353.65,0.3057324840764331,0.23091661140775255,1636.0,157.0
354.17,0.2692307692307692,0.21875068989756877,1664.0,156.0
354.69,0.01652892561983471,0.2453884636201965,1704.0,121.0
355.21,0.19852941176470587,0.21858689553533545,1695.0,136.0
355.73,0.04878048780487805,0.1829267223751623,1688.0,164.0
356.26,0.056179775280898875,0.2011264801024883,1658.0,178.0
356.78,0.08743169398907104,0.19062676084364494,1670.0,183.0
357.3,0.54375,0.21106689153747543,1675.0,160.0
357.82,0.12994350282485875,0.19165545146475757,1644.0,177.0
358.34,0.17316017316017315,0.18510142503063848,1646.0,231.0
358.86,0.48773006134969327,0.18451656008533007,1616.0,326.0
359.38,0.16423357664233576,0.17715343314926799,1668.0,274.0
359.9,0.22093023255813954,0.12618400590468593,1663.0,344.0
360.42,0.004415011037527594,0.11725427261021465,1666.0,453.0
360.94,-0.01675977653631285,0.10162320827225377,1688.0,537.0
361.46,0.05033112582781457,0.0539167919326145,1684.0,755.0
361.98,0.013800424628450107,0.039242973863224395,1724.0,942.0
362.5,0.034055727554179564,0.01922038061979763,1688.0,1292.0
363.02,0.04064616988014591,0.020850258102468943,1686.0,1919.0
363.54,0.016849529780564265,0.022911389817724878,1690.0,2552.0
364.06,0.010665897953300663,0.018532446342539595,1714.0,3469.0
364.58,0.017495395948434623,0.018434137113796954,1726.0,4344.0
365.1,0.02070430012387188,0.016293757335847196,1640.0,5651.0
365.62,0.02071378586424073,0.013005719700683142,1645.0,7145.0
366.14,0.003851540616246499,0.011983954372115736,1664.0,8568.0
366.66,0.006541691075961726,0.011311525160727276,1681.0,10242.0
367.18,0.012817332341023733,0.010115762497613503,1661.0,12093.0
367.7,0.012651929774681926,0.008622116912046788,1635.0,14069.0
368.22,0.007765793528505393,0.007014577429114496,1644.0,16225.0
368.74,0.006631876494890193,0.006937894184071019,1638.0,18396.0
369.26,0.003941605839416058,0.006882096720852443,1701.0,20550.0
369.78,0.005537769317296876,0.006262781469357673,1714.0,23114.0
370.3,0.005767844268204758,0.005566500218811851,1694.0,24966.0
370.82,0.004638391034917808,0.005386014803176745,1682.0,26949.0
371.34,0.0030847081658117287,0.005242093100462966,1693.0,28852.0
371.86,0.005983716443775954,0.00544047243889863,1678.0,30583.0
372.38,0.006624179826076037,0.005405549202493226,1649.0,31853.0
372.9,0.005689117269223711,0.0053438312408363685,1663.0,32694.0
373.42,0.005960939372154326,0.005463718363330028,1657.0,33384.0
373.94,0.005192659467752404,0.0055007460037460355,1654.0,33894.0
374.46,0.005925399223772701,0.005532405860943519,1667.0,33753.0
374.98,0.005188536953242836,0.005481834105898482,1693.0,33150.0
375.49,0.005150664651636184,0.005734204994505819,1699.0,32423.0
376.01,0.005837262259854389,0.005765463629435932,1659.0,31179.0
376.53,0.0034549845699718236,0.005615908150366705,1714.0,29812.0
377.05,0.006300315015750788,0.005908832259004608,1673.0,28570.0
377.57,0.006118462275625668,0.005875489883760051,1681.0,27131.0
378.09,0.008212826155297077,0.006033860664020859,1615.0,25448.0
378.61,0.006273525721455458,0.00601716562475069,1642.0,23910.0
379.13,0.0036971046770601338,0.006635190911731485,1688.0,22450.0
379.65,0.008854640310151726,0.006389463617276147,1656.0,20893.0
380.16,0.004855113200797261,0.006584010415503627,1713.0,19567.0
380.68,0.006734372454244284,0.007449437154963768,1671.0,18413.0
381.2,0.005670311867152693,0.00816051670518916,1657.0,17283.0
381.72,0.009635237439779766,0.00903183096933316,1650.0,15983.0
382.24,0.003843042071197411,0.009387298591620774,1750.0,14832.0
382.76,0.008063930257900472,0.009719085016213094,1690.0,13765.0
383.28,0.016867093549898484,0.01012643379698954,1633.0,12806.0
383.79,0.01338432122370937,0.01103503747643762,1652.0,12029.0
384.31,0.012410247318500134,0.011930070333956143,1668.0,11281.0
384.83,0.012409316533027874,0.012432403238932667,1686.0,10476.0
385.35,0.008172977446720464,0.01241848838641327,1660.0,9666.0
385.87,0.010807860262008733,0.011960783537773278,1670.0,9160.0
386.38,0.014756348661633494,0.01204119364014695,1667.0,8742.0
386.9,0.018585566014965003,0.01206879259910679,1663.0,8286.0
387.42,0.008866371120962635,0.011825806352319999,1650.0,7895.0
387.94,0.007924781732706514,0.012669052325502472,1694.0,7445.0
388.46,0.012290045063498567,0.013975182462554876,1676.0,7323.0
388.97,0.014188422247446084,0.014778064437602961,1682.0,7048.0
389.49,0.012686236908098539,0.014822574648811829,1699.0,6779.0
390.01,0.009979454065159965,0.01589881642575282,1661.0,6814.0
390.53,0.016605437178545186,0.015973132388874774,1647.0,6805.0
391.05,0.023869161632532783,0.016068228951523947,1630.0,6787.0
391.56,0.02278516841211435,0.01684025619225307,1636.0,7066.0
392.08,0.01903066812705367,0.01665423507803735,1659.0,7304.0
392.6,0.019628788890372548,0.017004402313822133,1622.0,7489.0
393.12,0.008667941363926068,0.01685107300640783,1613.0,7845.0
393.63,0.013241010689990281,0.015513077830172004,1702.0,8232.0
394.15,0.021908694654737326,0.01444366482964336,1681.0,8718.0
394.67,0.010826025765941324,0.014376443434467817,1691.0,9237.0
395.19,0.01348112642300779,0.013586837778892049,1662.0,10014.0
395.7,0.015072144104402168,0.01399415867345082,1644.0,10881.0
396.22,0.010489209870174534,0.013765544851018175,1693.0,11631.0
396.74,0.01209103840682788,0.01265229445736877,1710.0,12654.0
397.25,0.018358454175298234,0.012710287783940373,1627.0,13999.0
397.77,0.011732732334614875,0.012054380309531593,1661.0,15086.0
398.29,0.012741150309513793,0.011657666605416915,1674.0,16639.0
398.8,0.010954872465663833,0.011622454132107975,1678.0,18348.0
399.32,0.010776190718243277,0.01167156687730926,1676.0,19673.0
399.84,0.011405959031657356,0.010883611890885235,1676.0,21480.0
400.35,0.006922051678919988,0.010697964948716743,1693.0,23259.0
400.87,0.011105007063255377,0.010403006740362096,1652.0,25484.0
401.39,0.010137085137085137,0.010264927128507878,1652.0,27720.0
401.9,0.012582165858840715,0.010260393234261839,1608.0,30122.0
402.42,0.010478904311058001,0.010249037442054321,1665.0,32637.0
402.94,0.009876262912929958,0.010739264706594753,1673.0,35236.0
403.45,0.009791568225967344,0.010820306385690344,1659.0,38094.0
403.97,0.00957407634712164,0.011071663741364247,1702.0,40735.0
404.49,0.01073085177578289,0.011111722797789759,1683.0,43333.0
405.0,0.01129240110958216,0.011453140196844182,1712.0,45783.0
405.52,0.011824324324324325,0.01191920060195633,1647.0,48544.0
406.04,0.011915423854211285,0.0124074246528089,1640.0,51362.0
406.55,0.012650658693824162,0.012881675106525776,1649.0,53515.0
407.07,0.012982756423095832,0.013363775061590415,1693.0,54919.0
407.58,0.013893078301602229,0.013674953194728107,1686.0,56359.0
408.1,0.01453686696405143,0.013923567774426035,1679.0,57165.0
408.62,0.014673808734493046,0.014187538339940032,1660.0,57313.0
409.13,0.014316580884290407,0.014228851403130275,1678.0,56927.0
409.65,0.015551851326429281,0.014405230138700875,1645.0,56392.0
410.16,0.014404182440959076,0.01464100974150871,1652.0,55470.0
410.68,0.014310470121303594,0.014804701741701322,1648.0,53667.0
411.2,0.01455512950935128,0.015048786075612927,1713.0,51116.0
411.71,0.01306378932572657,0.01498013695888851,1712.0,48378.0
412.23,0.014746543778801843,0.014627516479434527,1678.0,45570.0
412.74,0.01625087432968058,0.014596550617830375,1623.0,42890.0
413.26,0.01617378696597755,0.01473168750600315,1598.0,40003.0
413.77,0.0171146520736091,0.014809238929739132,1664.0,37278.0
414.29,0.013630089717046238,0.01502897022427482,1714.0,34776.0
414.8,0.012025646531889438,0.015332645044078674,1683.0,32597.0
415.32,0.014094523824917566,0.015305908703900537,1652.0,30934.0
415.84,0.015661839003031322,0.015387501053007494,1649.0,29690.0
416.35,0.015330643746711104,0.015535788154804518,1658.0,28505.0
416.87,0.015261102271083467,0.015946219997694716,1646.0,27652.0
417.38,0.017783291976840365,0.016520117224594597,1642.0,26598.0
417.9,0.015983510927899198,0.016682906642048623,1664.0,25714.0
418.41,0.01698971045704714,0.016676269055545114,1666.0,25074.0
418.93,0.01859752309157934,0.016798654894559714,1620.0,24143.0
419.44,0.01773440814594824,0.01696919225534998,1646.0,23570.0
419.96,0.01776461880088823,0.01733112778866509,1687.0,22967.0
420.47,0.01572241799945785,0.01792568497706351,1714.0,22134.0
420.99,0.015595463137996219,0.018068957270716342,1691.0,21160.0
421.5,0.0165545021368571,0.0180744711694541,1701.0,20357.0
