#Name:: Glass1_UV;Timestamp:: 2026-Feb-13 14:02:25;Device:: Ossila Spectrometer (COM3);Colour:: (57: 207: 25);Integration Time (ms):: 60.0;Accumulation Number:: 1;Averaging Number:: 1;Delay #Time:: 0;Trigger Mode:: Internal;Measurement Type:: Transmission/Reflection;Comments:: 
#Wavelength (nm),Intensity,Smoothed,Background,Reference
319.68,0.8629032258064516,1.1500606620713725,1600.0,124.0
320.2,1.1727272727272726,1.1046972207747063,1578.0,110.0
320.73,1.3636363636363635,1.0593337794780402,1615.0,88.0
321.25,0.5932203389830508,1.013970338181374,1705.0,59.0
321.77,2.0,0.9686068968847079,1659.0,50.0
322.3,0.42105263157894735,1.2221348536557302,1671.0,76.0
322.82,0.08823529411764706,1.2798621263830028,1687.0,68.0
323.35,1.75,2.2434984900193666,1669.0,24.0
323.87,0.6074766355140186,2.1737597894543947,1679.0,107.0
324.39,0.6,2.2583751740697795,1713.0,40.0
324.92,3.625,2.2323989431699487,1660.0,16.0
325.44,1.75,2.8807182709010415,1644.0,44.0
325.96,11.0,2.9168293820121525,1641.0,4.0
326.49,-0.10416666666666667,7.256081718460751,1682.0,-48.0
327.01,2.8461538461538463,7.44608171846075,1682.0,13.0
327.54,0.16129032258064516,7.138298699592825,1681.0,31.0
328.06,6.571428571428571,7.058950873505869,1674.0,-7.0
328.58,2.111111111111111,6.011582452453237,1620.0,63.0
329.11,44.0,5.671999119119904,1694.0,1.0
329.63,2.5,5.468515809976218,1669.0,14.0
330.15,0.5471698113207547,5.528657964158831,1617.0,106.0
330.68,0.9565217391304348,5.033419868920737,1670.0,46.0
331.2,0.5263157894736842,4.901197646698514,1644.0,57.0
331.72,-3.5,0.648975424476292,1699.0,6.0
332.24,0.8113207547169812,0.4618325673334349,1689.0,53.0
332.77,0.7627118644067796,0.4633655862013594,1664.0,59.0
333.29,1.619047619047619,0.5248562694311731,1646.0,21.0
333.81,0.7888888888888889,0.5578016135607277,1633.0,90.0
334.34,1.4777777777777779,0.977950867292071,1621.0,90.0
334.86,0.6285714285714286,0.919895714897296,1631.0,70.0
335.38,0.5625,0.8436245284566181,1646.0,48.0
335.9,1.5714285714285714,0.9745769094089991,1639.0,49.0
336.43,0.8557692307692307,0.9502334750655647,1630.0,104.0
336.95,0.7014925373134329,0.9441223639544536,1659.0,67.0
337.47,0.23076923076923078,1.0096602828257057,1688.0,39.0
338.0,0.0,1.0010293304447533,1694.0,58.0
338.52,2.9285714285714284,0.8788864733018961,1718.0,-14.0
339.04,0.5454545454545454,0.8535505140803947,1668.0,66.0
339.56,1.4166666666666667,0.7167345936823847,1655.0,48.0
340.09,1.2839506172839505,0.6950275336191603,1632.0,81.0
340.61,0.47619047619047616,0.7156797075322038,1667.0,63.0
341.13,0.35,0.49990589800839436,1687.0,40.0
341.65,0.6024096385542169,0.4767890148915112,1638.0,83.0
342.17,-0.6666666666666666,0.4068395199420163,1706.0,12.0
342.7,0.0136986301369863,0.3055631022814178,1669.0,73.0
343.22,0.20652173913043478,0.3998045197786493,1660.0,92.0
343.74,0.7708333333333334,0.40153921365620027,1691.0,48.0
344.26,0.3142857142857143,0.40298049279143283,1632.0,70.0
344.78,0.7171717171717171,0.5246471594580995,1615.0,99.0
345.31,0.2711864406779661,0.5853210920648388,1667.0,59.0
345.83,1.4186046511627908,0.6787185049286548,1662.0,43.0
346.35,0.3673469387755102,0.6800351715953215,1680.0,98.0
346.87,0.616822429906542,0.6963942107862191,1668.0,107.0
347.39,0.55,0.705111821677743,1647.0,140.0
347.92,0.6204379562043796,0.7201618523087415,1672.0,137.0
348.44,1.140495867768595,0.7541634561579798,1667.0,121.0
348.96,0.784,0.7552666001182665,1646.0,125.0
349.48,0.4778761061946903,0.767354848930891,1659.0,113.0
350.0,0.8043478260869565,0.7610505011048041,1645.0,92.0
350.52,0.42168674698795183,0.735036117249072,1691.0,83.0
351.04,1.7586206896551724,0.6641444252090546,1667.0,58.0
