Temperature (K), Peak Energy (eV)
8.300000000000000000e+01,2.352540669516884897e+00
9.300000000000000000e+01,2.352268688160004118e+00
1.030000000000000000e+02,2.352915432712724630e+00
1.130000000000000000e+02,2.353795760355080091e+00
1.230000000000000000e+02,2.354534675405908661e+00
1.330000000000000000e+02,2.355211212983034486e+00
1.430000000000000000e+02,2.355666680008732250e+00
1.530000000000000000e+02,2.356054955430929354e+00
1.630000000000000000e+02,2.356423208827411742e+00
