Temperature (K), initial FWHM (eV), FWHM (eV)
8.300000000000000000e+01,2.826136420278446693e-02,2.830506018598505369e-02
9.300000000000000000e+01,2.846684616292760595e-02,2.841703127902403189e-02
1.030000000000000000e+02,2.871592070724071633e-02,2.873970451419461530e-02
1.130000000000000000e+02,2.924834963300693147e-02,2.924501023592632198e-02
1.230000000000000000e+02,3.008055884123628232e-02,2.990700988602213589e-02
1.330000000000000000e+02,3.081396353163468049e-02,3.070292605281806086e-02
1.430000000000000000e+02,3.146668402820074206e-02,3.161327473108679897e-02
1.530000000000000000e+02,3.256386215139084328e-02,3.262160850122504396e-02
1.630000000000000000e+02,3.350993375534105922e-02,3.371412546811648758e-02
1.730000000000000000e+02,3.475136220043584245e-02,3.487926259383725830e-02
1.830000000000000000e+02,3.587233824974589425e-02,3.610732315495961825e-02
1.930000000000000000e+02,3.744774950540596947e-02,3.739015482696869674e-02
2.030000000000000000e+02,3.830752949987337175e-02,3.872087979316227863e-02
2.130000000000000000e+02,4.048031967906551287e-02,4.009367208364836288e-02
2.230000000000000000e+02,4.194458206016538071e-02,4.150357538591064460e-02
2.330000000000000000e+02,4.364480775702928028e-02,4.294635449997191712e-02
2.430000000000000000e+02,4.529968896899427833e-02,4.441837430442911738e-02
2.530000000000000000e+02,4.641853077067281674e-02,4.591650102110270137e-02
2.630000000000000000e+02,4.632667255957478858e-02,4.743802147898402988e-02
2.730000000000000000e+02,4.741056457468229013e-02,4.898057688947120292e-02
2.830000000000000000e+02,4.977885169186491154e-02,5.054210832867681025e-02
2.930000000000000000e+02,5.143989485851685473e-02,5.212081168253442781e-02
2.980000000000000000e+02,5.498909090023129664e-02,5.291609938281074954e-02
