#Temperature (K), Centroid, FWHM, Height
83, 2.352540669516885, 0.028279865710953977, 10447.95
93, 2.352268688160004, 0.028387939706052023, 10461.85
103, 2.3529154327127246, 0.02858274159266161, 9571.85
113, 2.35379576035508, 0.029038671811175476, 8610.3
123, 2.3545346754059087, 0.029675630876941916, 7800.55
133, 2.3552112129830345, 0.030249321697150666, 7124.599999999998
143, 2.3556666800087322, 0.031025559803703473, 6464.3
153, 2.3560549554309294, 0.03199713976571017, 5901.35
163, 2.3564232088274117, 0.03332019575086198, 5282.05
173, 2.3565052363120853, 0.034136013491623096, 4784.95
183, 2.3564649991058038, 0.035594010478827265, 4324.549999999999
193, 2.3564654426169724, 0.03676394809476813, 3976.6499999999996
203, 2.3562277979322173, 0.03841641347151015, 3713.05
213, 2.35613254533755, 0.039812524366222846, 3631.2
223, 2.35622577859912, 0.04227917947592097, 3870.6000000000004
233, 2.3564418875238458, 0.044231482144377665, 4250.849999999999
243, 2.35677094789672, 0.04559246164147712, 4398.55
253, 2.3564928995465095, 0.047087491279522276, 4060.4500000000003
263, 2.355124307760472, 0.04743767032264623, 2529.8
273, 2.3541317795517283, 0.04924817766729639, 1909.15
283, 2.3537198519798523, 0.05089464183008818, 1569.8500000000001
293, 2.3535916341720813, 0.051697833314981345, 1223.2
298, 2.3543099509214223, 0.05301852928029316, 855.0
