Temp, Area 
83, 575.0773999999999 
93, 617.1388 
103, 575.2775333333334 
113, 527.2004000000001 
123, 489.5391333333333 
133, 456.6705999999999 
143, 429.5294666666665 
153, 406.14386666666655 
163, 380.48786666666666 
173, 355.8657333333332 
183, 333.3777333333333 
193, 320.68359999999996 
203, 310.78086666666667 
213, 313.8104666666666 
223, 351.92473333333334 
233, 401.8038666666667 
243, 429.4693333333333 
253, 411.5460666666668 
263, 270.96479999999997 
273, 220.6096 
283, 191.38553333333337 
293, 161.5661333333333 
