Temp, Area 
83, 574.7408833333334 
93, 594.8868 
103, 548.8418666666666 
113, 501.7502333333333 
123, 466.1428500000001 
133, 434.62161666666657 
143, 407.5810666666666 
153, 383.3966666666667 
163, 358.37069999999994 
173, 334.8732499999999 
183, 315.69986666666665 
193, 302.11871666666667 
203, 293.7619 
213, 297.94025000000005 
223, 335.35026666666664 
233, 384.4499166666666 
243, 412.26030000000003 
253, 395.22643333333326 
263, 254.21648333333331 
273, 202.93175 
283, 174.39975 
293, 143.6495833333333 
