#Temperature (K), Centroid, FWHM, Height
83, 2.3541117788805463, 0.028261364202784467, 7921.899999999998
93, 2.354127481618158, 0.028466846162927606, 7788.399999999998
103, 2.3550757942258356, 0.028715920707240716, 7035.95
113, 2.3559258043892943, 0.02924834963300693, 6339.25
123, 2.356933705015603, 0.030080558841236282, 5707.8
133, 2.3575761329171776, 0.03081396353163468, 5279.05
143, 2.3582517861427323, 0.03146668402820074, 4843.999999999999
153, 2.358931440480487, 0.03256386215139084, 4436.5
163, 2.359475000403317, 0.03350993375534106, 4022.0999999999995
173, 2.3597081227709493, 0.03475136220043584, 3658.45
183, 2.3601707198667965, 0.035872338249745894, 3289.1
193, 2.360298549724847, 0.03744774950540597, 3074.5499999999997
203, 2.3606212615096913, 0.03830752949987337, 2966.6500000000005
213, 2.3610414830266695, 0.04048031967906551, 3013.3500000000004
223, 2.361423140647302, 0.04194458206016538, 3394.2
233, 2.3620786279242845, 0.04364480775702928, 3752.05
243, 2.362563349368882, 0.04529968896899428, 3885.2999999999993
253, 2.3628038821733517, 0.04641853077067282, 3259.0
263, 2.3620745154158374, 0.04632667255957479, 1786.25
273, 2.36167916971907, 0.04741056457468229, 1349.5
283, 2.361123275596909, 0.04977885169186491, 984.55
293, 2.361755555577342, 0.051439894858516855, 700.2
298, 2.360420710528967, 0.0549890909002313, 548.15
