3.878878878878878833e+00,1.100000000000000006e-01
3.872579637726420998e+00,9.800000000000000377e-02
3.866180276244816305e+00,2.999999999999999889e-02
3.859922178988326902e+00,1.600000000000000033e-02
3.853684308667681968e+00,2.059999999999999887e-01
3.847347192057089416e+00,-6.199999999999999956e-02
3.841149866798835522e+00,-7.000000000000000666e-02
3.834853873511674394e+00,1.960000000000000075e-01
3.828696699292926109e+00,-1.140000000000000041e-01
3.822559265082154489e+00,1.019999999999999934e-01
3.816324018219869441e+00,-2.800000000000000058e-02
3.810226155358898747e+00,5.399999999999999939e-02
3.804147748189962375e+00,1.559999999999999998e-01
3.797972372813868791e+00,1.600000000000000033e-02
3.791932968410752114e+00,6.400000000000000133e-02
3.785797154546009402e+00,1.239999999999999991e-01
3.779796378711211435e+00,2.800000000000000058e-02
3.773814596140970590e+00,7.599999999999999811e-02
3.767737230713135155e+00,2.119999999999999940e-01
3.761793526074689975e+00,1.039999999999999952e-01
3.755868544600939440e+00,6.199999999999999956e-02
3.749848796419499308e+00,1.079999999999999988e-01
3.743961352657005026e+00,-1.000000000000000021e-02
3.738092367056553567e+00,1.459999999999999909e-01
3.732241752949674751e+00,-4.399999999999999745e-02
3.726297442678126348e+00,1.759999999999999898e-01
3.720483662876173714e+00,5.399999999999999939e-02
3.714687996165483508e+00,8.999999999999999667e-02
3.708799425734282895e+00,-3.799999999999999906e-02
3.703040076449859441e+00,-1.000000000000000021e-02
3.697298586677798315e+00,1.140000000000000041e-01
3.691574873474248619e+00,1.000000000000000021e-02
3.685759296138869878e+00,2.599999999999999881e-02
3.680071227185042204e+00,-3.200000000000000067e-02
3.674400687468515336e+00,8.200000000000000344e-02
3.668639053254437954e+00,6.600000000000000311e-02
3.663003663003663313e+00,8.799999999999999489e-02
3.657385559226050020e+00,8.200000000000000344e-02
3.651784662504417245e+00,7.599999999999999811e-02
3.646093681084419114e+00,2.000000000000000042e-03
3.640527289275123923e+00,-1.000000000000000056e-01
3.634977867675079910e+00,6.000000000000000125e-03
3.629445338797014919e+00,-1.400000000000000029e-02
3.623929625624689344e+00,-6.800000000000000488e-02
3.618325065655092043e+00,1.140000000000000041e-01
3.612843074412912525e+00,7.399999999999999634e-02
3.607377669168557510e+00,-1.400000000000000029e-02
3.601928774763260233e+00,5.000000000000000278e-02
3.596496316491676115e+00,-9.800000000000000377e-02
3.590976224262257155e+00,7.799999999999999989e-02
3.585576728450394768e+00,1.280000000000000027e-01
3.580193445936191488e+00,3.200000000000000067e-02
3.574826303802577154e+00,5.600000000000000117e-02
3.569475229569072372e+00,3.400000000000000244e-02
3.564037709818348887e+00,-4.000000000000000083e-03
3.558718861209964501e+00,-1.260000000000000009e-01
3.553415864282439607e+00,-4.599999999999999922e-02
3.548128648277440789e+00,-2.599999999999999881e-02
3.542857142857142705e+00,-6.000000000000000125e-03
3.537601278101107027e+00,1.019999999999999934e-01
3.532360984503190249e+00,7.199999999999999456e-02
3.527035867679267245e+00,-6.800000000000000488e-02
3.521826805646283809e+00,3.400000000000000244e-02
3.516633107399109281e+00,-4.800000000000000100e-02
3.511454705066122894e+00,8.000000000000000167e-03
3.506291531174890785e+00,-1.100000000000000006e-01
3.501143518649235897e+00,-8.200000000000000344e-02
3.496010600806338076e+00,3.400000000000000244e-02
3.490892711353847044e+00,1.459999999999999909e-01
3.485789784387034906e+00,8.999999999999999667e-02
3.480604053219559013e+00,9.800000000000000377e-02
3.475531139637872524e+00,-1.200000000000000025e-02
3.470472991883571279e+00,-5.199999999999999761e-02
3.465429545581577564e+00,-1.200000000000000025e-02
3.460400736730479654e+00,4.800000000000000100e-02
3.455386501699827306e+00,1.380000000000000115e-01
3.450386777227447244e+00,1.400000000000000133e-01
3.445401500416782614e+00,1.000000000000000056e-01
3.440430608734254214e+00,1.419999999999999873e-01
3.435474040006649243e+00,7.199999999999999456e-02
3.430531732418525159e+00,2.999999999999999889e-02
3.425603624509641065e+00,4.599999999999999922e-02
3.420689655172413968e+00,-1.799999999999999864e-02
3.415789763649385691e+00,-1.660000000000000087e-01
3.410903889530725319e+00,-5.800000000000000294e-02
