Temp, Area 
83, 437.7644166666667 
93, 453.4467833333333 
103, 409.86994999999996 
113, 375.74041666666665 
123, 350.12508333333324 
133, 332.02809999999994 
143, 312.0169833333333 
153, 297.3399333333333 
163, 278.54254999999995 
173, 263.62534999999997 
183, 246.96731666666665 
193, 242.9341333333333 
203, 240.8706 
213, 258.2002 
223, 298.49371666666667 
233, 341.9333833333333 
243, 366.25796666666656 
253, 317.7240666666667 
263, 183.99291666666664 
273, 148.35965000000002 
283, 118.48641666666666 
293, 92.79273333333332 
