Temp, Peak Height
83, 15843.799999999996
93, 15576.799999999996 
103, 14071.9 
113, 12678.5 
123, 11415.6 
133, 10558.1 
143, 9687.999999999998 
153, 8873.0 
163, 8044.199999999999 
173, 7316.9 
183, 6578.2 
193, 6149.099999999999 
203, 5933.300000000001 
213, 6026.700000000001 
223, 6788.4 
233, 7504.1 
243, 7770.5999999999985 
253, 6518.0 
263, 3572.5 
273, 2699.0 
283, 1969.1 
293, 1400.4 
298, 1096.3 
