Temperature (K), Integrated Intensity
8.300000000000000000e+01,5.747408833333333860e+02
9.300000000000000000e+01,5.948867999999999938e+02
1.030000000000000000e+02,5.488418666666666468e+02
1.130000000000000000e+02,5.017502333333333127e+02
1.230000000000000000e+02,4.661428500000001236e+02
1.330000000000000000e+02,4.346216166666665686e+02
1.430000000000000000e+02,4.075810666666665725e+02
1.530000000000000000e+02,3.833966666666667038e+02
1.630000000000000000e+02,3.583706999999999425e+02
1.730000000000000000e+02,3.348732499999999277e+02
1.830000000000000000e+02,3.156998666666666509e+02
1.930000000000000000e+02,3.021187166666666712e+02
2.030000000000000000e+02,2.937619000000000256e+02
2.130000000000000000e+02,2.979402500000000487e+02
2.230000000000000000e+02,3.353502666666666414e+02
2.330000000000000000e+02,3.844499166666665815e+02
2.430000000000000000e+02,4.122603000000000293e+02
2.530000000000000000e+02,3.952264333333332615e+02
2.630000000000000000e+02,2.542164833333333149e+02
2.730000000000000000e+02,2.029317499999999939e+02
2.830000000000000000e+02,1.743997500000000116e+02
2.930000000000000000e+02,1.436495833333333110e+02
