Energy (eV), initial Intensity (a.u.), Intensity (a.u.)
2.864998498186271281e+00,1.379999999999999630e-02,4.098427466563336549e-03
2.861560473542104077e+00,5.199999999999995424e-03,4.219045044508993106e-03
2.858196570164115879e+00,1.199999999999997510e-03,4.342200208897716018e-03
2.854840566363531451e+00,6.599999999999995627e-03,4.470421648676201759e-03
2.851426863200496875e+00,-4.599999999999999922e-03,4.606654683363149011e-03
2.848086728834581471e+00,-1.479999999999999892e-02,4.745953582379185479e-03
2.844754410516414644e+00,-1.679999999999999549e-02,4.891193598892016985e-03
2.841364771659677491e+00,-1.419999999999999908e-02,5.045739938361237277e-03
2.838048155268698913e+00,-1.060000000000000005e-02,5.204006286315451986e-03
2.834739272569325230e+00,-1.879999999999999727e-02,5.369278468070743521e-03
2.831373444457129906e+00,-2.820000000000000284e-02,5.545421827084969987e-03
2.828080098526661423e+00,-3.200000000000000067e-02,5.726099781625432900e-03
2.824794405084629645e+00,-2.879999999999999574e-02,5.915087650387515841e-03
2.821516337489760495e+00,-2.819999999999999937e-02,6.112880577339188833e-03
2.818181818181818343e+00,-2.959999999999999784e-02,6.324168074648653382e-03
2.814919071076706469e+00,-3.440000000000000696e-02,6.541403474214645304e-03
2.811663870119268882e+00,-3.640000000000000180e-02,6.769169733961691998e-03
2.808352584137337349e+00,-3.199999999999999373e-02,7.012927907968600008e-03
2.805112543829883620e+00,-3.019999999999999421e-02,7.264023872915662157e-03
2.801879971077367859e+00,-3.960000000000000325e-02,7.527797691911506522e-03
2.798654840092987595e+00,-2.399999999999999356e-02,7.805072959288425309e-03
2.795374106720169838e+00,-1.159999999999999573e-02,8.102606748229091577e-03
2.792163927043458393e+00,-1.479999999999999719e-02,8.409930041420043967e-03
2.788961111985785113e+00,-1.119999999999999989e-02,8.733656560479346326e-03
2.785765636232925946e+00,-3.999999999999958992e-04,9.074905894196691816e-03
2.782515034557041744e+00,3.660000000000000753e-02,9.442143049279538847e-03
2.779334304606074113e+00,5.360000000000000875e-02,9.822575984589401385e-03
2.776160838221465976e+00,6.020000000000000351e-02,1.022449952685114752e-02
2.772994610550797212e+00,5.299999999999999850e-02,1.064945266186962530e-02
2.769773727355982817e+00,5.359999999999999487e-02,1.110817917288622891e-02
2.766622043730477376e+00,5.399999999999999939e-02,1.158487627886801638e-02
2.763477524459004631e+00,3.859999999999998849e-02,1.209008403604543321e-02
2.760340145140465662e+00,2.579999999999999655e-02,1.262593696393070168e-02
2.757209881484445901e+00,1.839999999999999275e-02,1.319475269879154256e-02
2.754025541365908047e+00,-1.600000000000003112e-03,1.381126976225062648e-02
2.750909574940101354e+00,-1.499999999999999598e-02,1.445455654003826793e-02
2.747800651494670898e+00,-2.079999999999998864e-02,1.513908549494545966e-02
2.744698747177829912e+00,-3.559999999999999276e-02,1.586808425865460920e-02
2.741603838245373570e+00,-3.179999999999998800e-02,1.664505497270771586e-02
2.738515901060070590e+00,-2.519999999999999671e-02,1.747379469091965565e-02
2.735374569840289372e+00,-2.599999999999999534e-02,1.837634917748248026e-02
2.732300641209263414e+00,-6.799999999999997019e-03,1.932252835052667567e-02
2.729233613593344376e+00,9.599999999999999159e-03,2.033393358287932662e-02
2.726173463779267614e+00,1.839999999999999969e-02,2.141573973518531848e-02
2.723120168657765294e+00,5.020000000000000157e-02,2.257349966584380405e-02
2.720073705222980198e+00,3.520000000000000212e-02,2.381314722491747679e-02
2.716974517408357048e+00,2.279999999999999735e-02,2.516795210749281364e-02
2.713941781571460155e+00,2.199999999999999872e-02,2.659257914040547358e-02
2.710915808574364316e+00,3.740000000000000269e-02,2.811917321549874463e-02
2.707896575821103990e+00,4.580000000000000737e-02,2.975495597723734967e-02
2.704884060816264313e+00,4.320000000000000229e-02,3.150729205636207397e-02
2.701878241164422434e+00,3.699999999999999817e-02,3.338354400013836959e-02
2.698879094569594184e+00,4.780000000000000221e-02,3.539087107037233726e-02
2.695886598834681180e+00,5.320000000000000423e-02,3.753595779861845783e-02
2.692900731860924601e+00,3.940000000000000446e-02,3.982465636624663713e-02
2.689921471647359841e+00,4.980000000000001092e-02,4.226152573183748068e-02
2.686890574214517713e+00,6.859999999999999432e-02,4.490150403662927781e-02
2.683924590376831620e+00,7.220000000000000029e-02,4.764311870484239098e-02
2.680965147453083119e+00,6.500000000000000222e-02,5.053222478926396727e-02
2.678012223829989491e+00,5.679999999999998939e-02,5.356092707033752176e-02
2.675065797989385707e+00,6.420000000000000706e-02,5.671574870424219567e-02
2.672125848507703960e+00,6.700000000000000400e-02,5.997644882175229286e-02
2.669192354055450522e+00,5.879999999999999810e-02,6.331486073365900913e-02
2.666265293396692826e+00,6.139999999999999625e-02,6.669388250166997933e-02
2.663344645388547871e+00,6.600000000000000311e-02,7.006679948654921664e-02
2.660430388980669303e+00,5.059999999999999221e-02,7.337715966946745105e-02
2.657522503214744702e+00,4.139999999999999930e-02,7.655944201551137529e-02
2.654620967223994210e+00,5.199999999999999761e-02,7.954073697146160637e-02
2.651725760232667373e+00,5.279999999999999971e-02,8.224357811190569079e-02
2.648836861555550648e+00,7.779999999999999416e-02,8.458991546004913931e-02
2.645954250597473578e+00,8.899999999999999578e-02,8.650601319822298629e-02
2.643077906852818959e+00,9.839999999999998748e-02,8.792782227598013034e-02
2.640207809905037450e+00,9.679999999999998328e-02,8.880618108648920261e-02
2.637343939426164852e+00,9.420000000000000595e-02,8.911110378769958318e-02
2.634486275176340708e+00,1.005999999999999950e-01,8.883447838469779589e-02
2.631634797003331805e+00,1.100000000000000006e-01,8.799072430697769953e-02
2.628789484842060542e+00,9.179999999999999272e-02,8.661530479409249028e-02
2.625950318714131537e+00,8.580000000000001514e-02,8.476136194691061276e-02
2.623117278727364887e+00,8.920000000000000151e-02,8.249504076326365232e-02
2.620290345075333427e+00,8.319999999999999618e-02,7.989022062984446615e-02
2.617469498036897768e+00,7.780000000000000804e-02,7.702335923774393522e-02
2.614654717975751108e+00,7.219999999999998641e-02,7.396900725390931353e-02
2.611845985339961373e+00,7.000000000000000666e-02,7.079633525449165188e-02
2.609043280661518693e+00,7.660000000000001530e-02,6.756679293264357400e-02
2.606246584555887313e+00,6.840000000000000246e-02,6.433284181347374842e-02
2.603455877721556178e+00,7.140000000000000513e-02,6.113758820102725700e-02
2.600671140939597059e+00,8.079999999999999682e-02,5.801509207198628226e-02
2.597892355073222692e+00,8.580000000000001514e-02,5.499112594265463672e-02
2.595173813859065426e+00,8.340000000000000191e-02,5.213997364814187963e-02
2.592406756982772897e+00,5.899999999999998995e-02,4.935977301268386352e-02
2.589645594469853762e+00,4.359999999999999293e-02,4.671610138626507841e-02
2.586890307506154230e+00,2.659999999999999171e-02,4.421225886231052588e-02
2.584140877357507637e+00,1.639999999999999097e-02,4.184839563966676057e-02
2.581397285369306349e+00,2.000000000000055119e-04,3.962228996924286456e-02
2.578659512966082090e+00,-1.460000000000000013e-02,3.752999505508945732e-02
2.575927541651086283e+00,-2.820000000000000284e-02,3.556636409824844719e-02
2.573201353005872605e+00,-1.879999999999999727e-02,3.372546740690802319e-02
2.570480928689883982e+00,-1.019999999999998859e-02,3.200091723686685624e-02
2.567819424311451826e+00,-1.280000000000000061e-02,3.041676591665642276e-02
2.565110361804679329e+00,-2.220000000000001139e-02,2.890313249252139671e-02
2.562407009423044890e+00,-1.999999999999999695e-02,2.748624166848817607e-02
2.559709349131969347e+00,-1.179999999999999799e-02,2.615978718327219982e-02
2.557017362972739072e+00,4.000000000000005287e-03,2.491773759396755800e-02
2.554331033062107181e+00,1.320000000000000687e-02,2.375438129616339739e-02
2.551702850087457453e+00,8.599999999999996536e-03,2.268505552425502045e-02
2.549027669284216646e+00,2.100000000000000130e-02,2.166206671707856038e-02
2.546358091874242557e+00,2.640000000000000333e-02,2.070287234111825234e-02
2.543694100270780023e+00,1.160000000000000267e-02,1.980321901576303362e-02
2.541035676960593293e+00,2.040000000000000493e-02,1.895923399388872721e-02
2.538382804503582335e+00,4.340000000000000108e-02,1.816742754121215483e-02
2.535787321063394550e+00,4.359999999999999293e-02,1.743880661760162376e-02
2.533145390288247256e+00,5.980000000000001287e-02,1.674155889509181677e-02
2.530508958818007414e+00,5.779999999999999721e-02,1.608842015106945467e-02
2.527878009499928691e+00,4.739999999999999075e-02,1.547750688862271386e-02
2.525252525252525082e+00,6.199999999999999956e-02,1.490738616866655458e-02
2.522683810066322252e+00,5.359999999999999487e-02,1.438712752604510980e-02
2.520069098668834329e+00,4.559999999999999470e-02,1.389550078040369119e-02
2.517459801851551049e+00,4.559999999999999470e-02,1.344344721647548063e-02
2.514855902812988209e+00,2.819999999999999590e-02,1.303175902378926609e-02
2.512308284539173986e+00,2.859999999999999348e-02,1.266878520587143633e-02
2.509715025906735786e+00,2.619999999999999413e-02,1.234228585648235177e-02
2.507127115388503746e+00,9.999999999999959008e-04,1.206315889795685388e-02
2.504544536457281367e+00,-5.599999999999999943e-03,1.183565752361893757e-02
2.502017756255044301e+00,-1.599999999999998776e-03,1.166795207051681167e-02
2.499445687448348163e+00,-5.999999999999983211e-04,1.155993782783115709e-02
2.496878901373283277e+00,5.400000000000002021e-03,1.152371347360208256e-02
2.494317381771367526e+00,1.500000000000000291e-02,1.156908504843207237e-02
2.491811185016980623e+00,1.799999999999999864e-02,1.170398529319612545e-02
2.489260047376239626e+00,2.060000000000000026e-02,1.194721321633860321e-02
2.486714128145994351e+00,1.559999999999999408e-02,1.231284018129308669e-02
2.484223179404988713e+00,2.260000000000000203e-02,1.280768933097780823e-02
2.481687547532321680e+00,4.460000000000000075e-02,1.347203183212282961e-02
2.479157086590559000e+00,4.100000000000000172e-02,1.432100476017657102e-02
2.476631780778141501e+00,4.460000000000000075e-02,1.538119045787600739e-02
2.474160980086994588e+00,5.220000000000000334e-02,1.665429442430147941e-02
2.471645837070700846e+00,5.460000000000000270e-02,1.822371152522468327e-02
2.469135802469135665e+00,6.139999999999998931e-02,2.010284060581633836e-02
2.466679928386712017e+00,6.720000000000000973e-02,2.228427691210650360e-02
2.464179964627094321e+00,7.359999999999999876e-02,2.489807358126193762e-02
2.461685063130310436e+00,7.919999999999999263e-02,2.795132087006333213e-02
