Energy (eV), initial Intensity (a.u.), Intensity (a.u.)
3.196370572768985063e+00,-3.839999999999998970e-02,6.111775983772270741e-04
3.192091849868712305e+00,-4.099999999999999478e-02,6.206619187890323767e-04
3.187906522353908922e+00,-3.739999999999998881e-02,6.301539037294271719e-04
3.183650414644791926e+00,-3.139999999999999736e-02,6.400309133767195097e-04
3.179405656265223978e+00,-7.199999999999993731e-03,6.501141063127240625e-04
3.175172201879497447e+00,-2.000000000000010667e-04,6.604090391553071827e-04
3.170950006393044251e+00,-2.000000000000028556e-04,6.709214537493622980e-04
3.166819899887629131e+00,-2.800000000000000839e-03,6.814486814694900758e-04
3.162619873495205347e+00,-5.799999999999996131e-03,6.924095896759007232e-04
3.158430973000509123e+00,-1.120000000000000162e-02,7.036062680691682752e-04
3.154253154253154001e+00,-1.339999999999999698e-02,7.150452724774065049e-04
3.150166399918705284e+00,-1.680000000000000243e-02,7.265062204131604064e-04
3.146010402131168338e+00,-1.179999999999999799e-02,7.384454627732113616e-04
3.141865355866926723e+00,-4.999999999999998369e-03,7.506479476244870292e-04
3.137731217895189495e+00,-1.379999999999999630e-02,7.631211855628467324e-04
3.133687136719737421e+00,-1.080000000000000404e-02,7.756250497967083707e-04
3.129574478824895145e+00,7.400000000000003797e-03,7.886578089935964049e-04
3.125472601703886522e+00,1.099999999999999936e-02,8.019853267094452639e-04
3.121460037759597128e+00,1.519999999999999997e-02,8.153511888014220539e-04
3.117379390099806358e+00,2.279999999999999735e-02,8.292883491683924069e-04
3.113309397675060541e+00,1.199999999999986451e-03,8.435469451452454106e-04
3.109327983951855501e+00,9.799999999999997949e-03,8.578528328751191178e-04
3.105278974256235447e+00,5.399999999999994214e-03,8.727768303452190356e-04
3.101240496198479413e+00,-1.780000000000000332e-02,8.880519727984953482e-04
3.097289871362557623e+00,-4.220000000000000140e-02,9.033847848384321142e-04
3.093272133110484656e+00,-5.140000000000000124e-02,9.193874942513104772e-04
3.089264804803308451e+00,-7.159999999999999698e-02,9.357745084734065029e-04
3.085344613087833032e+00,-6.679999999999998439e-02,9.522312380287865658e-04
3.081357785398339821e+00,-7.139999999999999125e-02,9.694152845629865111e-04
3.077381247828460786e+00,-7.520000000000000295e-02,9.870207325497937396e-04
3.073491138926756960e+00,-4.819999999999999285e-02,1.004709890603396917e-03
3.069534866450478905e+00,-4.839999999999999164e-02,1.023190176702631253e-03
3.065588766100521667e+00,-3.799999999999999212e-02,1.042133465170592141e-03
3.061728395061728225e+00,-2.299999999999999961e-02,1.061176741089791577e-03
3.057802327875320803e+00,-5.399999999999999419e-03,1.081082229950861007e-03
3.053886316619052188e+00,9.799999999999999684e-03,1.101497490597374684e-03
3.050055343746156389e+00,2.819999999999999937e-02,1.122031696021720407e-03
3.046159137249121684e+00,3.219999999999999946e-02,1.143507501650068260e-03
3.042347514598361169e+00,2.759999999999999953e-02,1.165116561076552952e-03
3.038470962999264557e+00,2.179999999999999646e-02,1.187725149198805806e-03
3.034604277813127027e+00,2.100000000000000130e-02,1.210934994170277017e-03
3.030821499278957720e+00,1.839999999999999969e-02,1.234302608852306301e-03
